Time,Bandwidth
93.9100000858,2.9802292994
95.2599999905,1.1798177458
95.9900000095,1.9388634223
97.2300000191,1.4328472222
98.0499999523,1.9379614325
98.620000124,3.0030084034
99.25,2.5571565378
100.019999981,2.0322819383
101.190000057,1.4139776119
102.110000134,1.6649349398
103.190000057,1.3320897959
103.870000124,2.4537200675
104.74000001,1.9290259067
105.400000095,2.3016602452
106.039999962,2.5021963636
106.75999999,2.2004578696
107.769999981,1.4083466956
108.950000048,1.4919112754
110.650000095,0.8809763387
112.579999924,0.5999956236
113.190000057,0.9270731707
114.299999952,1.8333776908
115.350000143,1.4480083945
116.950000048,0.984149433
117.430000067,1.2672327366
117.809999943,1.2406594982
118.630000114,0.9089693593
121.25,1.4034817951
122.600000143,1.3966369427
123.519999981,1.2966956522
124.680000067,1.5344029991
125.400000095,2.111858748
126.230000019,2.5034363144
126.74000001,2.586212766
127.269999981,2.7032089888
127.900000095,2.8749090909
128.660000086,2.2985081724
129.319999933,2.6829219858
129.799999952,3.1545706941
130.920000076,1.5235910419
132.370000124,1.0391612903
133.210000038,2.0556985195
133.690000057,3.1719693095
134.269999981,3.0127383367
134.819999933,2.883868709
135.850000143,1.5287923323
136.400000095,2.3246269316
137.079999924,2.6984855688
137.420000076,3.6310236221
137.850000143,3.578102719
138.360000134,3.4745202864
138.910000086,3.4382526767
139.440000057,3.2673655172
139.960000038,3.2517701149
140.350000143,2.9691932203
140.980000019,2.9665839416
141.589999914,3.0577242718
142.130000114,2.9038022472
142.829999924,1.9727609756
143.670000076,1.9652328398
144.559999943,1.7477016435
146.660000086,0.8422589641
147.850000143,1.2591017415
149.380000114,0.9485968078
152.039999962,0.5572969602
153.870000124,0.8123194444
155.710000038,0.8453333333
157.539999962,0.7184735311
158.819999933,1.3847651007
159.75,1.6870023981
160.720000029,1.6336365714
161.970000029,1.2011557093
163.309999943,1.1152167607
164.75,1.1253036377
166.350000143,0.9127450462
167.680000067,1.0596168831
169.339999914,0.9256081425
170.420000076,1.5042505051
171.420000076,1.4618998888
172.380000114,1.5891547344
173.319999933,1.6188163743
174.120000124,1.8517150997
174.960000038,2.1580855615
175.970000029,1.5312207792
176.660000086,1.8341003345
177,1.8693442623
177.99000001,2.33921598
178.730000019,2.1100183486
179.430000067,2.4384132231
179.700000048,2.7680893855
179.920000076,2.70425
180.24000001,2.8252813853
181.900000095,2.3712618026
182.710000038,2.453393007
183.210000038,2.6250953545
183.839999914,3.0318666667
184.589999914,2.0086839695
185.529999971,2.1838486998
186.029999971,2.7078415842
186.600000143,2.5218616352
